Datetime,Open,High,Low,Close,Adj Close,Volume
2020-09-21 07:00:00+00:00,6007.0498046875,6007.0498046875,5903.740234375,5905.4501953125,5905.4501953125,0
2020-09-21 07:05:00+00:00,5905.5498046875,5911.6298828125,5900.93017578125,5902.52978515625,5902.52978515625,0
2020-09-21 07:10:00+00:00,5902.4599609375,5907.4599609375,5898.43994140625,5901.35009765625,5901.35009765625,0
2020-09-21 07:15:00+00:00,5901.3701171875,5908.97998046875,5898.2900390625,5907.66015625,5907.66015625,0
2020-09-21 07:20:00+00:00,5907.740234375,5908.06005859375,5878.27978515625,5879.14990234375,5879.14990234375,0
2020-09-21 07:25:00+00:00,5879.2099609375,5889.509765625,5878.2099609375,5889.22998046875,5889.22998046875,0
2020-09-21 07:30:00+00:00,5889.33984375,5890.7998046875,5866.419921875,5867.22021484375,5867.22021484375,0
2020-09-21 07:35:00+00:00,5867.25,5867.990234375,5862.669921875,5865.81005859375,5865.81005859375,0
2020-09-21 07:40:00+00:00,5865.85986328125,5870.9501953125,5863.06005859375,5866.16015625,5866.16015625,0
2020-09-21 07:45:00+00:00,5866.18994140625,5866.259765625,5858.5400390625,5860.10986328125,5860.10986328125,0
2020-09-21 07:50:00+00:00,5860.169921875,5861.02978515625,5847.2900390625,5850.1298828125,5850.1298828125,0
2020-09-21 07:55:00+00:00,5850.1201171875,5858.009765625,5848.2998046875,5857.919921875,5857.919921875,0
2020-09-21 08:00:00+00:00,5857.81005859375,5859.009765625,5847.85009765625,5858.64013671875,5858.64013671875,0
2020-09-21 08:05:00+00:00,5858.669921875,5859.6298828125,5848.02001953125,5848.43017578125,5848.43017578125,0
2020-09-21 08:10:00+00:00,5848.43994140625,5850.0400390625,5846.31982421875,5848.5498046875,5848.5498046875,0
2020-09-21 08:15:00+00:00,5848.56982421875,5849.77978515625,5845.39013671875,5848.39013671875,5848.39013671875,0
2020-09-21 08:20:00+00:00,5848.330078125,5848.58984375,5843.22998046875,5843.22998046875,5843.22998046875,0
2020-09-21 08:25:00+00:00,5843.22998046875,5843.7998046875,5835.7900390625,5839.6201171875,5839.6201171875,0
2020-09-21 08:30:00+00:00,5839.6201171875,5842.06005859375,5834.1201171875,5835.43017578125,5835.43017578125,0
2020-09-21 08:35:00+00:00,5835.47021484375,5836.14990234375,5832.97021484375,5834.6298828125,5834.6298828125,0
2020-09-21 08:40:00+00:00,5834.6298828125,5836.830078125,5825.5,5826.919921875,5826.919921875,0
2020-09-21 08:45:00+00:00,5826.9599609375,5827.009765625,5820.2099609375,5822.2099609375,5822.2099609375,0
2020-09-21 08:50:00+00:00,5822.27001953125,5822.77978515625,5816.64013671875,5821.080078125,5821.080078125,0
2020-09-21 08:55:00+00:00,5821.009765625,5823.5498046875,5819.27978515625,5819.27978515625,5819.27978515625,0
2020-09-21 09:00:00+00:00,5819.259765625,5820.14013671875,5813.81005859375,5815.02978515625,5815.02978515625,0
2020-09-21 09:05:00+00:00,5815.06982421875,5819.830078125,5814.27001953125,5815.919921875,5815.919921875,0
2020-09-21 09:10:00+00:00,5815.91015625,5831.47998046875,5815.91015625,5831.1201171875,5831.1201171875,0
2020-09-21 09:15:00+00:00,5831.14013671875,5832.6201171875,5828.240234375,5832.6201171875,5832.6201171875,0
